country,city,long,lat,yead_estab,year_start,year_end,pop_start,pop_end,probability,type,symbol,city_english,city_hebrew,city_yid,city_german,city_other,source,comment,,
Switzerland,Basel,7.5878261,47.5581077,1362,1362,1363,0,100,,,,,בזל,,Bâle,,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%97_%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1363,1363,1543,100,200,,,,,בזל,,,,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%97_%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1543,1543,1544,200,0,,,,,בזל,,,,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%97_%D7%91%D7%96%D7%9C,,,
Switzerland,Basel,7.5878261,47.5581077,1349,1349,1942,30,30,,,,,באזל,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bautzen,14.43494,51.18035,0,,1942,30,30,,,,,באוצן,,,,http://germansynagogues.com/index.php/synagogues-and-communities?pid=64&sid=183:bautzen,,,
Germany,Bavaria,11.5845093,48.1382614,906,906,1942,30,30,,,,,בוואריה,,,,https://www.jewishvirtuallibrary.org/bavaria-germany,,,
Germany,Bayreuth (Baureuth),11.5727501,49.9455156,1210,1210,1942,30,30,,,,,ביירוית,,,,https://www.jewishvirtuallibrary.org/baureuth,,,
France,Beaugency,1.62705,47.78019,0,,1942,30,30,,,,,"בלגנצי, בוז'נסי",,,,"Rabbi Eliezer of Beaugency, Commentaries on Amos and Jonah (With Selections from Isaiah and Ezekiel) (wmich.edu)",,,
England,Bedford,-0.4678051,52.1382423,0,,1942,30,30,,,,,בדפורד,,,,BEDFORD - JewishEncyclopedia.com,,,
Poland,Bedzin,19.1257429,50.3251231,1275,1275,1942,30,30,,,,,בנדז'ין,"בֶּנְדִין, בענדין",,,https://www.jewishgen.org/yizkor/bedzin/bed215.html,,,
Germany,Beilstein,9.3137,49.0414,1349,1349,1942,30,30,,,,,בילשטיין,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Beilstein (Rhineland-Palatinate),9.3137,49.0414,1300,1300,1942,30,30,,,,,בילשטיין,,,,https://www.beilstein-stadtfuehrungen.de/beilsteins-juedische-geschichte/beilstein-and-its-jewish-community/,,,
Germany,"Beilstein, Württemberg",9.3137,49.0414,0,,1942,30,30,,,,,בילשטיין,,,,,,,
Belarus,Belarus,28.247691,53.704205,0,,1942,30,30,,,,,יהדות בלארוס,,,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%91%D7%9C%D7%90%D7%A8%D7%95%D7%A1,,,
Belgium,Belgium,4.677726,50.707735,0,,1942,30,30,,,,, בלגיה,,,,https://www.jewishvirtuallibrary.org/belgium-virtual-jewish-history-tour,,,
Belgium,Belgium,4.677726,50.707735,0,,1942,30,30,,,,,בלגיה,,,,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Belgium,,,
Belgium,Belgium,4.677726,50.707735,0,,1942,30,30,,,,,בלגיה,,,,https://jguideeurope.org/en/region/belgium/,,,
Serbia,Belgrade,20.4568974,44.8178131,1250,1250,1942,30,30,,,,,יהדות בלגרד,,,,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%91%D7%9C%D7%92%D7%A8%D7%93,,,
France,Benfeld,7.5937,48.37062,1349,1349,1942,30,30,,,,,בנפלד,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bensheim,8.61839,49.68369,1349,1349,1942,30,30,,,,,בנסהיים,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bentheim,7.1551478,52.3010068,1349,1349,1942,30,30,,,,,בנטהיים,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Berching,11.44138,49.10695,1349,1349,1942,30,30,,,,,ברכינג,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Ukraine,Berestechko,25.11071,50.36047,1570,1570,1942,30,30,,,,,ברסטצ'קה,,,,https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%A1%D7%98%D7%A6%27%D7%A7%D7%94,,,
"??? France, Germany, Switzerland???",Berg,4.537617,50.931302,1349,1349,1942,30,30,,,,,ברג,,,,BLACK DEATH - JewishEncyclopedia.com,,,
France,Bergheim,13.0221612,47.8408541,1350,1350,1942,30,30,,,,,ברגהיים,,,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%94%D7%9B%D7%A0%D7%A1%D7%AA_%D7%A9%D7%9C_%D7%91%D7%A8%D7%92%D7%94%D7%99%D7%99%D7%9D,,,
"(Haut-Rhin, France, OR North Rhine-Westphalia, Germany)",Bergheim,13.0221612,47.8408541,1349,1349,1942,30,30,,,,,ברגהיים,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Berk,6.4600826,50.3857436,1349,1349,1942,30,30,,,,,ברק,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Berlin,13.408126,52.507192,1244,1244,1942,30,30,,,,,ברלין,,,,https://he.wikipedia.org/wiki/%D7%A7%D7%94%D7%99%D7%9C%D7%AA_%D7%99%D7%94%D7%95%D7%93%D7%99_%D7%91%D7%A8%D7%9C%D7%99%D7%9F,,,
Germany,Berlin,13.408126,52.507192,1295,1295,1942,30,30,,,,,ברלין,,,,https://www.jewishvirtuallibrary.org/berlin-germany-jewish-history-tour,,,
Germany,Berlin,13.408126,52.507192,1349,1349,1942,30,30,,,,,ברלין,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Berlin,13.408126,52.507192,1295,1295,1942,30,30,,,,,ברלין,,,,https://www.jewishvirtuallibrary.org/berlin,,,
Switzerland,Bern,7.570549,46.855135,1250,1250,1942,30,30,,,,,ברן,,,,https://he.wikipedia.org/wiki/%D7%91%D7%A8%D7%9F,,,
Switzerland,Bern,7.570549,46.855135,1262,1262,1942,30,30,,,,,ברן,,,,https://www.jewishvirtuallibrary.org/berne,,,
Switzerland,Bern,7.570549,46.855135,1259,1259,1942,30,30,,,,,ברן,,,,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Bern,,,
Germany,Bernburg,11.7431028,51.7913446,0,,1942,30,30,,,,,ברנבורג,,,,https://www.jewishvirtuallibrary.org/anhalt-jewish-virtual-library,,,
Germany,Bernkastel,7.0719877,49.9220795,1349,1349,1942,30,30,,,,,ברנקסטל,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Beuel,7.1231697,50.7426076,1349,1349,1942,30,30,,,,,בויל ,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Poland,"Beuthen, Bytom",18.8715325,50.3657432,1395,1395,1942,30,30,,,,,יהודי ביטום,בויטן,,,https://he.wikipedia.org/wiki/%D7%A7%D7%94%D7%99%D7%9C%D7%AA_%D7%99%D7%94%D7%95%D7%93%D7%99_%D7%91%D7%99%D7%98%D7%95%D7%9D,,,
France,Béziers,3.21402,43.34122,1200,1200,1942,30,30,,,,,בזייה,בדרש,,,https://he.wikipedia.org/wiki/%D7%91%D7%96%D7%99%D7%99%D7%94,,,
France,Béziers,3.21402,43.34122,506,506,1942,30,30,,,,,בזייה,"בדרש, ברודש, בישיש",,,BÉZIERS - JewishEncyclopedia.com,,,
Poland,Biała (Opole Voivodeship),17.6599107,50.3853609,1250,1250,1942,30,30,,,,,"יהודי צילץ, ביאלה",Zülz,,,https://he.wikipedia.org/wiki/%D7%A7%D7%94%D7%99%D7%9C%D7%AA_%D7%99%D7%94%D7%95%D7%93%D7%99_%D7%A6%D7%99%D7%9C%D7%A5,,,
Germany,Biberach,8.03333,48.33333,1349,1349,1942,30,30,,,,,ביבראך,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,"Biberach an der Riß, Bybrach",8.03333,48.33333,0,,1942,30,30,,,,,ביברך,,,,"זלמן כ""ץ – ויקיפדיה (wikipedia.org)",,,
Switzerland,Biel,,,1300,1300,1942,30,30,,,,,ביל,,,,https://www.jewishvirtuallibrary.org/biel-2,,,
Germany,Bielefeld,8.531007,52.0191005,1345,1345,1942,30,30,,,,,בילפלד,,,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%9C%D7%A4%D7%9C%D7%93#%D7%99%D7%94%D7%95%D7%93%D7%99%D7%9D,,,
Germany,Bielefeld,8.531007,52.0191005,1345,1345,1942,30,30,,,,,בילפלד,,,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%9C%D7%A4%D7%9C%D7%93,,,
Germany,Bielefeld,8.531007,52.0191005,1349,1349,1942,30,30,,,,,בילפלד,,,,BLACK DEATH - JewishEncyclopedia.com,,,
Germany,Bielefeld,8.531007,52.0191005,1340,1340,1942,30,30,,,,,בילפלד,,,,https://www.jewishvirtuallibrary.org/bielefeld,,,
Italy,Biella,8.05796,45.56304,0,,1942,30,30,,,,,ביאלה,,,,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%90%D7%9C%D7%94_(%D7%90%D7%99%D7%98%D7%9C%D7%99%D7%94),,,
